127.0.0.1 - - [20/Apr/2023:10:32:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:32:36 +0530] "GET /home/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:32:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:32:55 +0530] "GET /home/controller/welcome HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:33:29 +0530] "GET /home/first/welcome HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:36:13 +0530] "GET /home/first/welcome HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:36:16 +0530] "GET /home/first/welcome HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:36:28 +0530] "GET /home/controller/welcome HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [20/Apr/2023:10:36:32 +0530] "GET /home/first/welcome HTTP/1.1" 200 649
